"x"
"ASHU"
"BOCU"
"BREU"
"CIWH"
"COCA"
"CRFE"
"ERDI"
"ERNA"
"ERNE"
"ERSP"
"GECA"
"HEOB"
"HYDI"
"KOMA"
"LIMA"
"LIMU"
"LUAR"
"MUWR"
"PAMU"
"SOTR"
"SOVE"
"STTE"
"TRRA"
