plot,severity,ARLU,ASHU,BOCU,BREU,CARO,CEFE,CHAL,CIWH,COAN,COCA,CRFE,ELEL,ERDI,ERNA,ERNE,ERSP,FEAR,GECA,HEMU,HEOB,HOWR,HYDI,KOMA,LIDA,LIMA,LIMU,LOWR,LUAR,MUMO,MUST,MUWR,PAMU,PIPR,PSMA,QUGA,SATR,SCSC,SOTR,SOVE,STTE,TRRA,VETH
1,U,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
2,U,0.2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.5,0,1.5,0,0,0,0,0,2.5,0,0,0,0,0
3,U,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,4,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,9,0,0,0,0,0,0,0,0,0
8,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0.5,0,0,0,0,0
9,U,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
10,U,0,0,0,0,1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0
